epoch,Acc,Loss,Error,LR,model
0,0.5283,0.8568,,0.01,resnet-32
1,0.568,0.6648,,0.01,resnet-32
2,0.6065,0.6489,,0.01,resnet-32
3,0.6191,0.6344,,0.01,resnet-32
4,0.6358,0.6253,,0.01,resnet-32
5,0.6527,0.6127,,0.01,resnet-32
6,0.6749,0.5969,,0.01,resnet-32
7,0.7048,0.5657,,0.01,resnet-32
8,0.7073,0.5594,,0.01,resnet-32
9,0.715,0.5524,,0.01,resnet-32
10,0.7324,0.5366,,0.01,resnet-32
11,0.7289,0.5284,,0.01,resnet-32
12,0.7362,0.5304,,0.01,resnet-32
13,0.7405,0.5228,,0.01,resnet-32
14,0.7424,0.5228,,0.01,resnet-32
15,0.7415,0.5192,,0.01,resnet-32
16,0.7473,0.5181,,0.01,resnet-32
17,0.7401,0.5199,,0.01,resnet-32
18,0.7554,0.503,,0.01,resnet-32
19,0.7479,0.5136,,0.01,resnet-32
20,0.752,0.5094,,0.01,resnet-32
21,0.7501,0.5172,,0.01,resnet-32
22,0.7514,0.5075,,0.01,resnet-32
23,0.752,0.5075,,0.01,resnet-32
