value,state,epoch,model,lr,mode
,fn,16,densenet,0.001,train
,tp,17,densenet,0.001,train
,tn,17,densenet,0.001,train
,fp,17,densenet,0.001,train
,fn,17,densenet,0.001,train
,tp,18,densenet,0.001,train
,tn,18,densenet,0.001,train
,fp,18,densenet,0.001,train
,fn,18,densenet,0.001,train
,tp,19,densenet,0.001,train
,tn,19,densenet,0.001,train
,fp,19,densenet,0.001,train
,fn,19,densenet,0.001,train
,tp,20,densenet,0.001,train
,tn,20,densenet,0.001,train
,fp,20,densenet,0.001,train
,fn,20,densenet,0.001,train
,tp,21,densenet,0.001,train
,tn,21,densenet,0.001,train
,fp,21,densenet,0.001,train
,fn,21,densenet,0.001,train
,tp,22,densenet,0.001,train
,tn,22,densenet,0.001,train
,fp,22,densenet,0.001,train
,fn,22,densenet,0.001,train
,tp,23,densenet,0.001,train
,tn,23,densenet,0.001,train
,fp,23,densenet,0.001,train
,fn,23,densenet,0.001,train
