epoch,Acc,Loss,Error,LR,model
4,0.7088,0.5916,,0.00001,resnet-152
5,0.7134,0.5769,,0.00001,resnet-152
6,0.7232,0.5653,,0.00001,resnet-152
7,0.7313,0.555,,0.00001,resnet-152
8,0.7354,0.5539,,0.00001,resnet-152
9,0.7354,0.5545,,0.00001,resnet-152
10,0.7322,0.5543,,0.00001,resnet-152
11,0.7379,0.552,,0.00001,resnet-152
12,0.7356,0.5498,,0.00001,resnet-152
13,0.7384,0.5453,,0.00001,resnet-152
14,0.7296,0.5501,,0.00001,resnet-152
15,0.7438,0.5403,,0.00001,resnet-152
16,0.7374,0.5466,,0.00001,resnet-152
17,0.7377,0.547,,0.00001,resnet-152
18,0.7513,0.5384,,0.00001,resnet-152
19,0.7393,0.5457,,0.00001,resnet-152
20,0.7384,0.5472,,0.00001,resnet-152
21,0.7375,0.5503,,0.00001,resnet-152
22,0.7411,0.5427,,0.00001,resnet-152
23,0.7402,0.5491,,0.00001,resnet-152
0,0.7424,0.5172,,0.0005,resnet-152
1,0.8155,0.4079,,0.0005,resnet-152
2,0.8308,0.3808,,0.0005,resnet-152
3,0.84,0.356,,0.0005,resnet-152
4,0.8491,0.3474,,0.0005,resnet-152
5,0.8498,0.3335,,0.0005,resnet-152
6,0.8583,0.3269,,0.0005,resnet-152
7,0.8606,0.3176,,0.0005,resnet-152
8,0.8674,0.3069,,0.0005,resnet-152
9,0.8666,0.3068,,0.0005,resnet-152
10,0.8668,0.3093,,0.0005,resnet-152
11,0.8667,0.3063,,0.0005,resnet-152
12,0.8638,0.3124,,0.0005,resnet-152
13,0.8706,0.2945,,0.0005,resnet-152
14,0.8697,0.2989,,0.0005,resnet-152
15,0.8699,0.3,,0.0005,resnet-152
16,0.8726,0.2939,,0.0005,resnet-152
17,0.8731,0.2961,,0.0005,resnet-152
18,0.8671,0.3014,,0.0005,resnet-152
19,0.8679,0.3015,,0.0005,resnet-152
20,0.8653,0.3068,,0.0005,resnet-152
21,0.867,0.3098,,0.0005,resnet-152
22,0.8729,0.2929,,0.0005,resnet-152
23,0.8741,0.2916,,0.0005,resnet-152
0,0.757,0.4947,,0.0006,resnet-152
1,0.8246,0.3953,,0.0006,resnet-152
2,0.843,0.3578,,0.0006,resnet-152
3,0.8462,0.3461,,0.0006,resnet-152
4,0.8539,0.3376,,0.0006,resnet-152
5,0.8544,0.3394,,0.0006,resnet-152
6,0.8597,0.3234,,0.0006,resnet-152
7,0.8631,0.3122,,0.0006,resnet-152
8,0.8614,0.3175,,0.0006,resnet-152
9,0.8661,0.3089,,0.0006,resnet-152
10,0.868,0.3041,,0.0006,resnet-152
11,0.8729,0.2977,,0.0006,resnet-152
12,0.8753,0.2911,,0.0006,resnet-152
13,0.8723,0.2964,,0.0006,resnet-152
14,0.8697,0.2946,,0.0006,resnet-152
15,0.8733,0.2956,,0.0006,resnet-152
16,0.872,0.2924,,0.0006,resnet-152
17,0.8702,0.2945,,0.0006,resnet-152
18,0.8747,0.2886,,0.0006,resnet-152
19,0.8679,0.2981,,0.0006,resnet-152
20,0.8768,0.2871,,0.0006,resnet-152
21,0.8705,0.2956,,0.0006,resnet-152
22,0.8697,0.2952,,0.0006,resnet-152
23,0.8726,0.2907,,0.0006,resnet-152
0,0.753,0.4913,,0.0007,resnet-152
1,0.8231,0.3997,,0.0007,resnet-152
2,0.8382,0.3669,,0.0007,resnet-152
3,0.8465,0.3468,,0.0007,resnet-152
4,0.8544,0.3365,,0.0007,resnet-152
5,0.8582,0.3232,,0.0007,resnet-152
6,0.8599,0.322,,0.0007,resnet-152
7,0.8661,0.3031,,0.0007,resnet-152
8,0.8704,0.2996,,0.0007,resnet-152
9,0.876,0.2938,,0.0007,resnet-152
10,0.8697,0.2996,,0.0007,resnet-152
11,0.8721,0.2984,,0.0007,resnet-152
12,0.8677,0.2999,,0.0007,resnet-152
13,0.8764,0.2868,,0.0007,resnet-152
14,0.8744,0.2957,,0.0007,resnet-152
15,0.8753,0.2901,,0.0007,resnet-152
16,0.8743,0.2909,,0.0007,resnet-152
17,0.875,0.29,,0.0007,resnet-152
18,0.8741,0.2958,,0.0007,resnet-152
19,0.8737,0.2873,,0.0007,resnet-152
20,0.8753,0.2898,,0.0007,resnet-152
21,0.875,0.2886,,0.0007,resnet-152
22,0.8745,0.2935,,0.0007,resnet-152
23,0.8712,0.2975,,0.0007,resnet-152
0,0.7562,0.4917,,0.0008,resnet-152
1,0.8272,0.3975,,0.0008,resnet-152
2,0.8393,0.3639,,0.0008,resnet-152
3,0.8371,0.3541,,0.0008,resnet-152
4,0.8504,0.3381,,0.0008,resnet-152
5,0.8581,0.323,,0.0008,resnet-152
6,0.8591,0.3217,,0.0008,resnet-152
7,0.8642,0.3096,,0.0008,resnet-152
8,0.8674,0.2971,,0.0008,resnet-152
9,0.8699,0.2997,,0.0008,resnet-152
10,0.8728,0.2894,,0.0008,resnet-152
11,0.8763,0.2855,,0.0008,resnet-152
12,0.872,0.2912,,0.0008,resnet-152
13,0.8737,0.2903,,0.0008,resnet-152
14,0.8741,0.287,,0.0008,resnet-152
15,0.8761,0.2882,,0.0008,resnet-152
16,0.877,0.2848,,0.0008,resnet-152
17,0.8774,0.2862,,0.0008,resnet-152
18,0.8709,0.2904,,0.0008,resnet-152
19,0.8733,0.2901,,0.0008,resnet-152
20,0.8753,0.2881,,0.0008,resnet-152
21,0.8717,0.2891,,0.0008,resnet-152
22,0.878,0.2867,,0.0008,resnet-152
23,0.878,0.2804,,0.0008,resnet-152
0,0.7551,0.4915,,0.0009,resnet-152
1,0.8269,0.3909,,0.0009,resnet-152
2,0.842,0.3618,,0.0009,resnet-152
3,0.8442,0.3512,,0.0009,resnet-152
4,0.8475,0.3435,,0.0009,resnet-152
5,0.8553,0.3323,,0.0009,resnet-152
6,0.8545,0.3292,,0.0009,resnet-152
7,0.8665,0.3021,,0.0009,resnet-152
8,0.8745,0.2939,,0.0009,resnet-152
9,0.873,0.2922,,0.0009,resnet-152
10,0.8752,0.2946,,0.0009,resnet-152
11,0.865,0.3013,,0.0009,resnet-152
12,0.8744,0.2875,,0.0009,resnet-152
13,0.8786,0.2843,,0.0009,resnet-152
14,0.8702,0.2897,,0.0009,resnet-152
15,0.8717,0.287,,0.0009,resnet-152
16,0.8721,0.2903,,0.0009,resnet-152
17,0.8702,0.2931,,0.0009,resnet-152
18,0.8727,0.2908,,0.0009,resnet-152
19,0.8776,0.2846,,0.0009,resnet-152
20,0.8779,0.2855,,0.0009,resnet-152
21,0.8788,0.2832,,0.0009,resnet-152
22,0.8736,0.2903,,0.0009,resnet-152
23,0.8711,0.2918,,0.0009,resnet-152
0,0.7147,0.5672,,0.001,resnet-152
1,0.789,0.4566,,0.001,resnet-152
2,0.8095,0.4269,,0.001,resnet-152
3,0.8168,0.4091,,0.001,resnet-152
4,0.8333,0.3847,,0.001,resnet-152
5,0.8335,0.3801,,0.001,resnet-152
6,0.8433,0.3636,,0.001,resnet-152
7,0.8434,0.3547,,0.001,resnet-152
8,0.8518,0.3361,,0.001,resnet-152
9,0.8633,0.3217,,0.001,resnet-152
10,0.8597,0.325,,0.001,resnet-152
11,0.8609,0.3203,,0.001,resnet-152
12,0.8694,0.3093,,0.001,resnet-152
13,0.8577,0.3249,,0.001,resnet-152
14,0.8646,0.3107,,0.001,resnet-152
15,0.8585,0.3216,,0.001,resnet-152
16,0.8646,0.3107,,0.001,resnet-152
17,0.8673,0.3039,,0.001,resnet-152
18,0.8651,0.3098,,0.001,resnet-152
19,0.8704,0.3072,,0.001,resnet-152
20,0.8713,0.3053,,0.001,resnet-152
21,0.8709,0.2998,,0.001,resnet-152
22,0.8745,0.3006,,0.001,resnet-152
23,0.867,0.3077,,0.001,resnet-152
0,0.5251,0.7237,,0.01,resnet-152
1,0.5801,0.6625,,0.01,resnet-152
2,0.6238,0.635,,0.01,resnet-152
3,0.5637,0.6729,,0.01,resnet-152
4,0.5553,0.6797,,0.01,resnet-152
5,0.5465,0.6794,,0.01,resnet-152
6,0.5954,0.658,,0.01,resnet-152
7,0.6292,0.6326,,0.01,resnet-152
8,0.6466,0.6201,,0.01,resnet-152
9,0.6574,0.6136,,0.01,resnet-152
10,0.675,0.5982,,0.01,resnet-152
11,0.6809,0.5889,,0.01,resnet-152
12,0.6995,0.5796,,0.01,resnet-152
13,0.7052,0.5684,,0.01,resnet-152
14,0.7182,0.554,,0.01,resnet-152
15,0.7244,0.5456,,0.01,resnet-152
16,0.721,0.5458,,0.01,resnet-152
17,0.7397,0.5297,,0.01,resnet-152
18,0.7402,0.5265,,0.01,resnet-152
19,0.7362,0.5228,,0.01,resnet-152
20,0.7451,0.5239,,0.01,resnet-152
21,0.7465,0.5144,,0.01,resnet-152
22,0.7506,0.5155,,0.01,resnet-152
23,0.7447,0.5146,,0.01,resnet-152
0,0.5122,1.0407,,0.1,resnet-152
1,0.5212,0.6943,,0.1,resnet-152
2,0.5535,0.6868,,0.1,resnet-152
3,0.5391,0.6881,,0.1,resnet-152
4,0.5389,0.6874,,0.1,resnet-152
5,0.5555,0.6801,,0.1,resnet-152
6,0.5614,0.6761,,0.1,resnet-152
7,0.5825,0.6689,,0.1,resnet-152
8,0.5825,0.6661,,0.1,resnet-152
9,0.5906,0.6624,,0.1,resnet-152
10,0.5929,0.6586,,0.1,resnet-152
11,0.5988,0.6575,,0.1,resnet-152
12,0.6017,0.6568,,0.1,resnet-152
13,0.5976,0.6574,,0.1,resnet-152
14,0.6068,0.6534,,0.1,resnet-152
15,0.6086,0.6497,,0.1,resnet-152
16,0.6045,0.6547,,0.1,resnet-152
17,0.6107,0.653,,0.1,resnet-152
18,0.6089,0.649,,0.1,resnet-152
19,0.6053,0.6499,,0.1,resnet-152
20,0.5996,0.6509,,0.1,resnet-152
21,0.6089,0.6504,,0.1,resnet-152
22,0.6097,0.6528,,0.1,resnet-152
23,0.6025,0.655,,0.1,resnet-152
0,0.5034,0.9066,,0.2,resnet-152
1,0.5055,0.7044,,0.2,resnet-152
2,0.5035,0.7,,0.2,resnet-152
3,0.5206,0.6975,,0.2,resnet-152
4,0.5186,0.6979,,0.2,resnet-152
5,0.5221,0.6966,,0.2,resnet-152
6,0.5219,0.7004,,0.2,resnet-152
7,0.5603,0.6856,,0.2,resnet-152
8,0.5553,0.6856,,0.2,resnet-152
9,0.569,0.6824,,0.2,resnet-152
10,0.5597,0.6837,,0.2,resnet-152
11,0.5594,0.6833,,0.2,resnet-152
12,0.5646,0.6829,,0.2,resnet-152
13,0.5732,0.6799,,0.2,resnet-152
14,0.5688,0.6792,,0.2,resnet-152
15,0.5657,0.6799,,0.2,resnet-152
16,0.5739,0.6741,,0.2,resnet-152
17,0.5808,0.6726,,0.2,resnet-152
18,0.5773,0.6732,,0.2,resnet-152
19,0.5785,0.6708,,0.2,resnet-152
20,0.5798,0.669,,0.2,resnet-152
21,0.5771,0.6685,,0.2,resnet-152
22,0.5846,0.6659,,0.2,resnet-152
23,0.5864,0.6662,,0.2,resnet-152
